volume	energy
141.2962	-15.19819263
334.9242	-15.71166678
360.6767	-15.68570604
387.7166	-15.65578892
416.0753	-15.62485293
445.7841	-15.5929128
476.8745	-15.56068596
155.902	-15.37581035
171.4812	-15.50909771
188.0652	-15.60613899
205.6853	-15.67359037
224.3731	-15.71676329
244.1598	-15.74009077
265.0768	-15.75006863
287.1557	-15.74604101
310.4277	-15.73250989
