Material,Lattice(Angstorm),BulkModulus(GPa)
Ge,5.681754922199471,74.49793122129101
C,3.5500339745507974,439.97552418619847
Si,5.423505262018747,93.52004985967734
SiC,4.343280813150344,218.61773727547595
