Material,Lattice(Angstorm),BulkModulus(GPa)
Ge,5.686056341479451,72.54315090917072
C,3.5533062863430533,439.8007416136669
Si,5.435394761351747,89.93507745839712
SiC,4.351091006338692,215.09870073987895
